"","ibge","week","year","municipality","population","deaths","likely_cases","cases_pcap","deaths_pcap","Years.Range"
"59","130260","06",2017,"130260 MANAUS",2130264,0,143,6.71278301656508,0,"2017/2018"
"60","130260","06",2018,"130260 MANAUS",2145444,0,20,0.932207971869692,0,"2018/2019"
"61","130260","06",2019,"130260 MANAUS",2182763,0,18,0.824642895266229,0,"2019/2020"
"62","130260","06",2020,"130260 MANAUS",2219580,0,31,1.39666062948846,0,"2020/2021"
"63","130260","06",2021,"130260 MANAUS",2255903,0,89,3.94520509082172,0,"2021/2022"
"64","130260","06",2022,"130260 MANAUS",2054731,0,35,1.70338599067226,0,"2022/2023"
"65","130260","06",2023,"130260 MANAUS",2063689,0,16,0.775310620931739,0,"2023/2024"
"66","130260","06",2024,"130260 MANAUS",2279686,0,165,7.23783889535664,0,"2024/2025"
"67","130260","07",2014,"130260 MANAUS",2020301,0,44,2.17789329411805,0,"2014/2015"
"68","130260","07",2015,"130260 MANAUS",2057711,0,34,1.65232143872487,0,"2015/2016"
"69","130260","07",2016,"130260 MANAUS",2094391,0,195,9.31058240796489,0,"2016/2017"
"70","130260","07",2017,"130260 MANAUS",2130264,0,105,4.92896655062471,0,"2017/2018"
"71","130260","07",2018,"130260 MANAUS",2145444,0,13,0.6059351817153,0,"2018/2019"
"72","130260","07",2019,"130260 MANAUS",2182763,0,18,0.824642895266229,0,"2019/2020"
"73","130260","07",2020,"130260 MANAUS",2219580,0,34,1.53182133556799,0,"2020/2021"
"74","130260","07",2021,"130260 MANAUS",2255903,0,116,5.14206506219461,0,"2021/2022"
"75","130260","07",2022,"130260 MANAUS",2054731,0,47,2.28740404461703,0,"2022/2023"
"76","130260","07",2023,"130260 MANAUS",2063689,0,5,0.242284569041169,0,"2023/2024"
"77","130260","07",2024,"130260 MANAUS",2279686,0,144,6.31665939958398,0,"2024/2025"
"78","130260","08",2014,"130260 MANAUS",2020301,0,100,4.94975748663194,0,"2014/2015"
"79","130260","08",2015,"130260 MANAUS",2057711,0,64,3.1102521199527,0,"2015/2016"
"80","130260","08",2016,"130260 MANAUS",2094391,0,149,7.1142398912142,0,"2016/2017"
"81","130260","08",2017,"130260 MANAUS",2130264,0,41,1.92464408167251,0,"2017/2018"
"82","130260","08",2018,"130260 MANAUS",2145444,0,23,1.07203916765015,0,"2018/2019"
"83","130260","08",2019,"130260 MANAUS",2182763,0,18,0.824642895266229,0,"2019/2020"
"84","130260","08",2020,"130260 MANAUS",2219580,0,31,1.39666062948846,0,"2020/2021"
"85","130260","08",2021,"130260 MANAUS",2255903,0,122,5.40803394472191,0,"2021/2022"
"86","130260","08",2022,"130260 MANAUS",2054731,0,35,1.70338599067226,0,"2022/2023"
"87","130260","08",2023,"130260 MANAUS",2063689,0,8,0.38765531046587,0,"2023/2024"
"88","130260","08",2024,"130260 MANAUS",2279686,0,112,4.91295731078754,0,"2024/2025"
"89","130260","09",2014,"130260 MANAUS",2020301,0,132,6.53367988235416,0,"2014/2015"
"90","130260","09",2015,"130260 MANAUS",2057711,0,49,2.38128677933879,0,"2015/2016"
"91","130260","09",2016,"130260 MANAUS",2094391,0,213,10.1700207840847,0,"2016/2017"
"92","130260","09",2017,"130260 MANAUS",2130264,0,59,2.76960977606531,0,"2017/2018"
"93","130260","09",2018,"130260 MANAUS",2145444,0,27,1.25848076202408,0,"2018/2019"
"94","130260","09",2019,"130260 MANAUS",2182763,0,5,0.229067470907286,0,"2019/2020"
"95","130260","09",2020,"130260 MANAUS",2219580,0,22,0.991178511249876,0,"2020/2021"
"96","130260","09",2021,"130260 MANAUS",2255903,0,166,7.35847241658883,0,"2021/2022"
"97","130260","09",2022,"130260 MANAUS",2054731,0,36,1.75205416183432,0,"2022/2023"
"98","130260","09",2023,"130260 MANAUS",2063689,0,24,1.16296593139761,0,"2023/2024"
"99","130260","09",2024,"130260 MANAUS",2279686,0,122,5.35161421353643,0,"2024/2025"
"100","130260","10",2014,"130260 MANAUS",2020301,0,93,4.60327446256771,0,"2014/2015"
"101","130260","10",2015,"130260 MANAUS",2057711,0,69,3.35324056682401,0,"2015/2016"
"102","130260","10",2016,"130260 MANAUS",2094391,0,199,9.5015687137693,0,"2016/2017"
"103","130260","10",2017,"130260 MANAUS",2130264,0,61,2.86349485322007,0,"2017/2018"
"104","130260","10",2018,"130260 MANAUS",2145444,0,24,1.11864956624363,0,"2018/2019"
"105","130260","10",2019,"130260 MANAUS",2182763,0,12,0.549761930177486,0,"2019/2020"
"106","130260","10",2020,"130260 MANAUS",2219580,0,37,1.66698204164752,0,"2020/2021"
"107","130260","10",2021,"130260 MANAUS",2255903,0,133,5.89564356268864,0,"2021/2022"
"108","130260","10",2022,"130260 MANAUS",2054731,0,39,1.89805867532052,0,"2022/2023"
"109","130260","10",2023,"130260 MANAUS",2063689,0,29,1.40525050043878,0,"2023/2024"
"110","130260","10",2024,"130260 MANAUS",2279686,0,97,4.25497195666421,0,"2024/2025"
"111","130260","11",2014,"130260 MANAUS",2020301,0,117,5.79121625935937,0,"2014/2015"
"112","130260","11",2015,"130260 MANAUS",2057711,0,43,2.08970064309322,0,"2015/2016"
"113","130260","11",2016,"130260 MANAUS",2094391,0,163,7.78269196152963,0,"2016/2017"
"114","130260","11",2017,"130260 MANAUS",2130264,0,88,4.13094339480928,0,"2017/2018"
"115","130260","11",2018,"130260 MANAUS",2145444,0,28,1.30509116061757,0,"2018/2019"
"116","130260","11",2019,"130260 MANAUS",2182763,0,11,0.503948435996029,0,"2019/2020"
"117","130260","11",2020,"130260 MANAUS",2219580,0,41,1.84719631642022,0,"2020/2021"
"118","130260","11",2021,"130260 MANAUS",2255903,0,203,8.99861385884056,0,"2021/2022"
"119","130260","11",2022,"130260 MANAUS",2054731,0,51,2.48207672926529,0,"2022/2023"
"120","130260","11",2023,"130260 MANAUS",2063689,0,38,1.84136272471288,0,"2023/2024"
"121","130260","11",2024,"130260 MANAUS",2279686,0,67,2.93900124841755,0,"2024/2025"
"122","130260","12",2014,"130260 MANAUS",2020301,0,135,6.68217260695312,0,"2014/2015"
"123","130260","12",2015,"130260 MANAUS",2057711,0,84,4.08220590743792,0,"2015/2016"
"124","130260","12",2016,"130260 MANAUS",2094391,0,174,8.30790430249175,0,"2016/2017"
"125","130260","12",2017,"130260 MANAUS",2130264,0,109,5.11673670493422,0,"2017/2018"
"126","130260","12",2018,"130260 MANAUS",2145444,0,44,2.05085753811332,0,"2018/2019"
"127","130260","12",2019,"130260 MANAUS",2182763,0,20,0.916269883629143,0,"2019/2020"
"128","130260","12",2020,"130260 MANAUS",2219580,0,36,1.62192847295434,0,"2020/2021"
"129","130260","12",2021,"130260 MANAUS",2255903,0,175,7.75742574037979,0,"2021/2022"
"130","130260","12",2022,"130260 MANAUS",2054731,0,42,2.04406318880671,0,"2022/2023"
"131","130260","12",2023,"130260 MANAUS",2063689,0,21,1.01759518997291,0,"2023/2024"
"132","130260","12",2024,"130260 MANAUS",2279686,0,68,2.98286693869243,0,"2024/2025"
"133","130260","13",2014,"130260 MANAUS",2020301,0,197,9.75102224866493,0,"2014/2015"
"134","130260","13",2015,"130260 MANAUS",2057711,0,20,0.97195378748522,0,"2015/2016"
"135","130260","13",2016,"130260 MANAUS",2094391,0,327,15.6131304995104,0,"2016/2017"
"136","130260","13",2017,"130260 MANAUS",2130264,0,94,4.41259862627355,0,"2017/2018"
"137","130260","13",2018,"130260 MANAUS",2145444,0,46,2.14407833530029,0,"2018/2019"
"138","130260","13",2019,"130260 MANAUS",2182763,0,12,0.549761930177486,0,"2019/2020"
"139","130260","13",2020,"130260 MANAUS",2219580,0,23,1.03623207994305,0,"2020/2021"
"140","130260","13",2021,"130260 MANAUS",2255903,0,212,9.39756718263152,0,"2021/2022"
"141","130260","13",2022,"130260 MANAUS",2054731,0,51,2.48207672926529,0,"2022/2023"
"142","130260","13",2023,"130260 MANAUS",2063689,0,28,1.35679358663054,0,"2023/2024"
"143","130260","13",2024,"130260 MANAUS",2279686,0,35,1.53529915962111,0,"2024/2025"
"144","130260","14",2014,"130260 MANAUS",2020301,0,141,6.97915805615104,0,"2014/2015"
"145","130260","14",2015,"130260 MANAUS",2057711,0,17,0.826160719362437,0,"2015/2016"
"146","130260","14",2016,"130260 MANAUS",2094391,0,295,14.0852400530751,0,"2016/2017"
"147","130260","14",2017,"130260 MANAUS",2130264,0,105,4.92896655062471,0,"2017/2018"
"148","130260","14",2018,"130260 MANAUS",2145444,0,38,1.77119514655242,0,"2018/2019"
"149","130260","14",2019,"130260 MANAUS",2182763,0,8,0.366507953451657,0,"2019/2020"
"150","130260","14",2020,"130260 MANAUS",2219580,0,20,0.901071373863524,0,"2020/2021"
"151","130260","14",2021,"130260 MANAUS",2255903,0,192,8.51100424087383,0,"2021/2022"
"152","130260","14",2022,"130260 MANAUS",2054731,0,66,3.21209929669626,0,"2022/2023"
"153","130260","14",2023,"130260 MANAUS",2063689,0,29,1.40525050043878,0,"2023/2024"
"154","130260","14",2024,"130260 MANAUS",2279686,0,66,2.89513555814266,0,"2024/2025"
"155","130260","15",2014,"130260 MANAUS",2020301,0,140,6.92966048128472,0,"2014/2015"
"156","130260","15",2015,"130260 MANAUS",2057711,0,45,2.18689602184175,0,"2015/2016"
"157","130260","15",2016,"130260 MANAUS",2094391,0,305,14.5627058175861,0,"2016/2017"
"158","130260","15",2017,"130260 MANAUS",2130264,0,111,5.21062178208898,0,"2017/2018"
"159","130260","15",2018,"130260 MANAUS",2145444,0,59,2.75001351701559,0,"2018/2019"
"160","130260","15",2019,"130260 MANAUS",2182763,0,10,0.458134941814572,0,"2019/2020"
"161","130260","15",2020,"130260 MANAUS",2219580,0,16,0.720857099090819,0,"2020/2021"
"162","130260","15",2021,"130260 MANAUS",2255903,0,192,8.51100424087383,0,"2021/2022"
"163","130260","15",2022,"130260 MANAUS",2054731,0,44,2.14139953113084,0,"2022/2023"
"164","130260","15",2023,"130260 MANAUS",2063689,0,17,0.823767534739973,0,"2023/2024"
"165","130260","15",2024,"130260 MANAUS",2279686,0,72,3.15832969979199,0,"2024/2025"
"166","130260","16",2014,"130260 MANAUS",2020301,0,116,5.74171868449305,0,"2014/2015"
"167","130260","16",2015,"130260 MANAUS",2057711,0,20,0.97195378748522,0,"2015/2016"
"168","130260","16",2016,"130260 MANAUS",2094391,0,287,13.7032674414663,0,"2016/2017"
"169","130260","16",2017,"130260 MANAUS",2130264,0,80,3.75540308619026,0,"2017/2018"
"170","130260","16",2018,"130260 MANAUS",2145444,0,40,1.86441594373938,0,"2018/2019"
"171","130260","16",2019,"130260 MANAUS",2182763,0,21,0.962083377810601,0,"2019/2020"
"172","130260","16",2020,"130260 MANAUS",2219580,0,13,0.58569639301129,0,"2020/2021"
"173","130260","16",2021,"130260 MANAUS",2255903,0,160,7.09250353406153,0,"2021/2022"
"174","130260","16",2022,"130260 MANAUS",2054731,0,42,2.04406318880671,0,"2022/2023"
